CreditScore|HomeAge|YearsEmployed|CreditCardDebt|Year|Default
808|7|4|1102|2009|0
636|15|3|8653|2009|1
636|18|5|9615|2009|1
709|26|1|5882|2008|0
626|30|9|5387|2009|0
740|17|5|5061|2007|0
743|21|6|9892|2008|1
649|22|5|5005|2008|0
684|25|7|4932|2009|0
679|20|2|7181|2008|1
738|17|3|6309|2009|0
691|6|5|3755|2008|0
645|20|6|4411|2009|0
761|23|4|7437|2009|1
701|22|6|1458|2008|0
652|10|7|4379|2008|0
729|25|4|4208|2007|0
749|26|9|3253|2009|0
660|25|4|5020|2009|0
674|4|3|7209|2009|1
748|28|4|3147|2009|0
664|17|8|2490|2008|0
694|17|5|4336|2009|0
679|26|6|8254|2009|1
633|31|3|878|2007|0
651|23|5|4075|2008|0
737|11|5|4699|2008|0
726|21|8|5183|2009|0
707|27|9|6367|2007|0
731|21|4|8396|2009|1
703|22|7|9635|2009|1
697|19|6|3060|2009|0
763|25|5|5594|2009|0
761|29|3|3628|2007|0
605|21|6|9125|2008|1
681|17|1|5998|2007|0
653|17|8|5899|2009|0
688|28|4|3858|2008|0
702|13|0|2846|2008|0
742|39|3|516|2008|0
716|5|4|5164|2007|0
755|20|1|3225|2008|0
688|1|5|5188|2008|0
700|13|7|4831|2008|0
742|25|2|10417|2009|1
759|28|5|7394|2008|0
625|15|5|3012|2009|0
759|17|6|7357|2007|0
682|22|6|11318|2008|1
667|25|8|9630|2008|1
612|21|7|5227|2009|0
654|24|3|10489|2007|1
664|31|3|4290|2009|0
618|26|7|8862|2009|1
753|22|6|3834|2007|0
770|13|4|3388|2008|0
703|21|1|10218|2009|1
777|16|4|9515|2009|1
659|29|5|3458|2008|0
669|19|8|2061|2008|0
835|15|3|4712|2007|0
734|23|2|6197|2007|0
764|17|2|8420|2008|0
672|6|4|4804|2007|0
743|19|4|8487|2009|1
748|8|5|7123|2009|0
702|16|3|7928|2009|0
729|12|0|4503|2007|0
641|6|7|6009|2008|0
611|15|2|4745|2007|0
729|19|6|4901|2009|0
667|28|4|3591|2008|0
788|22|4|5412|2008|0
669|16|5|7549|2007|0
670|37|3|3370|2007|0
739|20|4|4608|2007|0
754|19|2|3650|2009|0
692|14|7|10446|2008|1
686|24|6|6068|2009|0
668|10|4|9106|2008|1
735|16|4|9505|2008|0
673|13|5|12132|2009|1
676|12|9|4792|2009|0
715|15|5|1063|2008|0
690|19|6|8582|2008|0
661|16|0|4358|2007|0
684|21|1|6741|2009|1
760|20|1|5134|2009|0
735|23|0|9846|2008|1
655|27|3|6481|2009|1
748|8|8|4255|2008|0
769|26|8|7659|2007|0
626|14|7|8368|2009|1
770|5|7|2731|2009|0
722|26|7|3274|2008|0
742|37|3|5541|2008|0
630|20|4|4165|2007|0
600|19|10|3608|2008|0
740|3|4|6799|2007|0
614|27|6|4690|2007|0
718|20|8|8287|2009|0
726|32|7|5973|2008|0
735|4|6|4285|2009|0
686|22|6|2844|2007|0
724|24|4|10086|2009|1
603|24|8|5292|2007|0
828|25|7|7757|2007|0
737|23|5|8591|2009|1
660|22|5|10144|2008|1
615|14|6|5176|2009|0
624|31|6|3824|2008|0
711|17|6|5955|2007|0
763|21|6|3838|2007|0
629|16|3|9301|2009|1
710|24|5|6033|2007|0
689|7|3|5787|2008|0
694|20|4|6726|2008|0
778|20|10|585|2007|0
735|28|7|4296|2007|0
606|30|5|8142|2009|1
749|27|9|4202|2009|0
671|24|6|5198|2009|1
742|18|6|6877|2009|0
660|14|5|3759|2009|0
632|21|3|8576|2009|1
642|15|5|7661|2009|0
723|20|5|2809|2007|0
742|7|4|3956|2009|0
739|34|4|8216|2008|1
764|14|2|4963|2009|0
727|22|5|3122|2008|0
600|19|6|5450|2009|0
701|27|6|7875|2007|0
750|38|3|9739|2009|0
753|17|2|7161|2009|1
710|19|8|2273|2008|0
775|19|5|4836|2008|0
681|19|4|3051|2007|0
635|18|4|6428|2008|0
646|20|6|2076|2009|0
772|14|4|6685|2007|0
718|19|4|11929|2009|1
716|25|6|4482|2008|0
636|22|3|9866|2008|1
699|31|2|6900|2008|1
680|13|5|3894|2007|0
683|16|6|3174|2009|0
722|16|3|8153|2009|0
727|22|6|8324|2009|1
627|13|9|1034|2008|0
729|20|4|4064|2009|0
680|16|8|5349|2009|0
742|16|6|6736|2009|0
748|31|2|6853|2007|0
736|19|7|6245|2007|0
710|21|4|4236|2008|0
715|16|5|8651|2009|1
620|22|5|3960|2008|0
722|24|6|6042|2008|0
671|19|2|7493|2009|1
740|11|8|5692|2008|0
703|26|7|2976|2009|0
703|31|6|5807|2007|0
764|22|2|2331|2009|0
688|31|5|5125|2007|0
619|17|6|5583|2008|0
653|14|6|7102|2008|0
680|4|5|4630|2009|0
818|28|4|8898|2008|0
643|29|4|4944|2009|0
695|15|6|8352|2009|1
730|11|7|6257|2009|0
666|11|5|10767|2008|0
675|16|4|6246|2009|1
682|23|3|6629|2008|1
682|25|4|7357|2007|1
762|17|6|4895|2007|0
695|15|6|1957|2008|0
765|21|1|2817|2009|0
683|15|2|7898|2008|0
780|21|5|7722|2009|0
707|33|6|5351|2007|0
659|22|5|9733|2008|1
598|22|5|3556|2007|0
736|17|5|7574|2008|0
601|19|4|7116|2007|0
693|38|6|3764|2007|0
650|28|3|8446|2009|1
660|19|8|5223|2008|0
680|13|4|6585|2009|0
707|14|5|6244|2008|0
707|24|3|8225|2009|1
660|30|2|6179|2009|1
649|29|9|4554|2009|0
724|23|4|4656|2007|0
679|22|4|3502|2009|0
733|17|3|4988|2009|0
689|15|2|2344|2007|0
604|22|9|3194|2007|0
691|5|7|5130|2009|0
715|24|6|3143|2009|0
624|15|5|9479|2007|1
777|13|5|8628|2009|0
683|20|3|6870|2009|0
678|18|5|3326|2009|0
752|21|3|1670|2007|0
705|13|4|6822|2008|0
679|20|6|6818|2009|1
748|12|4|12267|2008|1
702|17|1|10401|2008|1
821|29|5|8952|2009|1
752|20|6|3219|2008|0
770|19|8|4902|2007|0
673|24|-|5014|2009|0
700|16|4|2728|2008|0
728|34|5|7339|2009|0
702|15|8|2027|2009|0
614|30|7|3679|2007|0
662|28|1|7757|2009|1
674|13|4|5528|2009|0
647|17|5|3918|2008|0
720|32|5|8452|2007|0
670|19|3|4265|2009|0
713|13|4|2714|2007|0
800|13|9|6270|2008|0
720|23|8|6339|2009|0
795|22|10|6850|2007|0
779|16|4|6977|2009|0
694|31|8|5640|2007|0
695|27|5|5197|2007|0
667|11|8|2296|2009|0
694|18|5|9267|2008|1
700|4|8|5054|2007|0
664|24|4|4902|2007|1
680|10|7|6301|2009|0
748|36|6|3947|2008|0
705|23|2|4746|2009|0
691|23|5|3859|2007|0
705|22|4|3578|2007|0
657|17|5|9819|2007|1
683|31|4|4749|2009|0
537|19|7|5699|2007|0
769|30|3|10346|2007|1
699|21|6|9469|2007|0
666|14|5|7691|2008|1
714|17|7|6085|2009|0
699|12|3|4137|2009|0
715|32|2|3727|2009|0
605|23|6|8065|2007|0
726|28|10|3301|2009|0
706|9|9|7424|2008|0
666|20|3|9436|2009|0
798|20|6|1829|2009|0
743|13|4|4120|2009|0
736|25|7|3468|2009|0
747|23|5|3885|2008|0
689|19|8|2820|2007|0
678|35|5|4267|2007|0
701|6|8|6380|2008|0
782|21|3|3487|2007|0
700|13|3|3583|2008|0
753|14|7|9301|2009|1
674|22|2|8498|2007|1
782|15|4|1714|2007|0
770|15|6|7607|2008|0
613|12|6|5919|2009|0
773|13|9|9947|2008|0
586|26|6|3744|2009|0
711|20|2|3972|2009|0
685|8|7|4972|2007|0
665|23|0|6920|2009|1
653|16|7|8632|2008|0
728|12|4|4860|2008|0
694|17|3|2811|2009|0
784|21|6|5262|2009|0
646|38|2|3692|2008|0
656|9|6|6839|2008|0
617|20|6|9919|2009|1
746|11|4|4717|2009|0
653|20|4|9777|2007|1
824|11|6|6532|2007|0
684|22|4|5517|2007|0
706|21|1|6216|2008|0
722|16|5|11356|2009|1
661|14|7|4273|2007|0
681|18|6|4285|2008|0
786|21|3|5544|2007|0
720|20|6|9676|2009|1
676|17|4|8555|2008|1
620|12|5|5370|2007|0
769|11|3|7047|2009|0
